student_id,gender,ethnicity_group,parent_education,lunch_type,test_preparation,study_hours_week,attendance_rate,tutoring,extracurricular,math_score,reading_score,writing_score,final_grade_pct,passed
17,Female,Group B,Bachelor's,Standard,Not Completed,3.6,0.915,No,Yes,79.8,85.2,75.1,80.0,1
18,Male,Group E,Bachelor's,Standard,Not Completed,7.3,1.0,No,Yes,81.5,76.9,77.2,78.5,1
19,Female,Group A,Some College,Standard,Not Completed,8.0,0.918,Yes,No,64.2,69.9,73.5,69.2,1
20,Female,Group D,High School,Standard,Completed,2.3,0.781,No,No,63.1,70.6,62.1,65.3,1
21,Male,Group E,Some College,Standard,Not Completed,6.0,1.0,Yes,Yes,67.2,63.0,65.1,65.1,1
22,Female,Group C,High School,Free/Reduced,Completed,13.9,0.824,No,No,77.9,92.0,71.8,80.6,1
23,Female,Group E,Associate's,Free/Reduced,Completed,1.1,1.0,Yes,No,66.7,71.0,62.7,66.8,1
24,Female,Group A,Bachelor's,Standard,Not Completed,22.2,0.893,No,No,80.4,93.7,77.1,83.7,1
25,Female,Group C,Associate's,Standard,Not Completed,1.4,0.994,No,No,65.9,74.2,72.6,70.9,1
26,Male,Group B,Bachelor's,Standard,Not Completed,7.9,0.991,No,No,86.2,84.4,87.3,86.0,1
27,Female,Group D,Some College,Free/Reduced,Completed,2.3,0.934,No,Yes,60.5,67.1,58.7,62.1,1
28,Female,Group E,High School,Standard,Not Completed,8.7,0.941,No,Yes,65.1,83.0,80.9,76.3,1
29,Male,Group B,Bachelor's,Free/Reduced,Not Completed,12.4,0.934,No,Yes,75.4,75.9,66.9,72.7,1
30,Female,Group D,Some College,Standard,Completed,10.5,0.739,Yes,No,76.7,80.5,74.9,77.4,1
31,Male,Group B,Associate's,Standard,Not Completed,11.5,0.909,Yes,Yes,87.6,76.3,83.0,82.3,1
32,Female,Group C,Some College,Standard,Completed,5.6,0.811,Yes,Yes,67.2,65.9,62.7,65.3,1
33,Female,Group C,High School,Free/Reduced,Not Completed,2.5,0.914,No,No,45.2,53.1,40.4,46.2,0
34,Male,Group E,Master's,Standard,Not Completed,13.8,0.809,Yes,No,80.5,79.2,68.1,75.9,1
35,Male,Group C,High School,Standard,Completed,19.4,0.805,Yes,No,94.1,87.3,72.8,84.7,1
36,Male,Group B,Master's,Standard,Not Completed,7.0,1.0,No,Yes,77.4,87.9,72.8,79.4,1
37,Female,Group A,Master's,Free/Reduced,Not Completed,5.2,0.986,No,Yes,63.7,80.9,68.6,71.1,1
38,Female,Group B,Bachelor's,Free/Reduced,Completed,4.0,0.9,No,Yes,68.4,74.7,70.3,71.1,1
39,Male,Group B,Associate's,Standard,Not Completed,10.1,0.915,No,No,62.0,66.3,66.4,64.9,1
40,Female,Group B,Associate's,Free/Reduced,Completed,11.8,0.88,No,Yes,69.1,73.3,72.2,71.5,1
41,Female,Group E,Bachelor's,Standard,Completed,5.2,0.946,No,No,75.0,80.1,70.5,75.2,1
42,Female,Group C,Some College,Standard,Not Completed,15.5,0.846,Yes,No,78.3,85.4,76.3,80.0,1
43,Female,Group C,Some College,Standard,Not Completed,9.7,0.979,No,Yes,79.2,78.0,72.9,76.7,1
44,Male,Group A,Associate's,Standard,Completed,7.0,0.88,No,No,76.5,75.8,65.8,72.7,1
45,Female,Group E,Some College,Free/Reduced,Not Completed,8.1,0.866,Yes,Yes,57.4,62.6,55.3,58.4,0
46,Male,Group D,Some College,Free/Reduced,Not Completed,3.4,0.902,Yes,Yes,54.3,60.8,51.7,55.6,0
47,Female,Group A,Some College,Standard,Completed,10.1,0.853,Yes,Yes,100.0,100.0,96.7,98.9,1
48,Male,Group D,Associate's,Standard,Not Completed,3.5,0.926,No,No,61.8,51.6,54.5,56.0,0
49,Male,Group C,Bachelor's,Free/Reduced,Completed,4.8,0.857,No,Yes,64.1,65.9,67.5,65.8,1
50,Female,Group A,High School,Free/Reduced,Not Completed,6.4,0.937,No,Yes,65.3,63.1,62.2,63.5,1
51,Male,Group C,Master's,Standard,Not Completed,17.7,0.997,No,Yes,95.9,100.0,90.1,95.3,1
52,Male,Group C,Associate's,Free/Reduced,Not Completed,7.7,0.842,No,Yes,65.9,73.3,68.5,69.2,1
53,Male,Group B,Bachelor's,Standard,Completed,3.8,0.89,No,Yes,66.4,72.8,70.6,69.9,1
54,Male,Group E,Associate's,Standard,Completed,8.1,0.937,Yes,Yes,81.7,86.8,86.8,85.1,1
55,Male,Group D,Bachelor's,Free/Reduced,Completed,9.3,0.865,No,No,79.9,78.3,78.1,78.8,1
56,Male,Group D,High School,Standard,Not Completed,12.9,0.937,No,Yes,66.1,74.5,72.8,71.1,1
57,Female,Group C,Bachelor's,Standard,Not Completed,6.6,0.944,No,Yes,74.6,75.0,75.4,75.0,1
58,Female,Group C,High School,Standard,Not Completed,4.2,0.987,Yes,Yes,84.2,75.0,90.1,83.1,1
59,Female,Group D,Bachelor's,Free/Reduced,Not Completed,20.4,0.852,No,Yes,80.7,74.2,75.0,76.6,1
60,Female,Group C,Master's,Free/Reduced,Not Completed,8.1,0.825,No,No,72.0,76.2,63.9,70.7,1
61,Female,Group A,Some College,Standard,Not Completed,3.8,0.875,No,Yes,67.1,74.5,73.8,71.8,1
62,Female,Group C,High School,Standard,Not Completed,6.5,0.823,No,Yes,61.2,70.3,66.2,65.9,1
63,Male,Group D,Bachelor's,Standard,Completed,4.8,0.945,No,No,83.1,99.4,93.9,92.1,1
64,Female,Group C,Some College,Standard,Not Completed,13.4,0.807,No,No,62.4,51.5,55.6,56.5,0
65,Female,Group A,Bachelor's,Standard,Completed,9.3,1.0,No,Yes,89.1,88.2,100.0,92.4,1
66,Male,Group D,High School,Free/Reduced,Not Completed,5.5,1.0,Yes,No,77.7,77.9,67.9,74.5,1
67,Female,Group B,High School,Standard,Not Completed,11.8,0.901,No,No,58.3,66.8,69.0,64.7,1
68,Male,Group B,Master's,Standard,Not Completed,6.2,0.969,Yes,No,91.8,78.6,90.1,86.8,1
69,Female,Group B,Associate's,Standard,Not Completed,6.4,0.769,No,Yes,79.9,72.7,61.8,71.5,1
70,Male,Group B,Bachelor's,Standard,Not Completed,4.1,1.0,No,No,59.3,67.7,69.9,65.6,1
71,Male,Group D,Some College,Free/Reduced,Not Completed,4.1,0.853,No,No,54.6,58.0,58.8,57.1,0
72,Female,Group C,Associate's,Standard,Not Completed,19.6,0.89,No,Yes,95.7,92.2,87.8,91.9,1
73,Female,Group B,Associate's,Standard,Completed,11.5,0.752,No,Yes,66.5,53.8,53.5,57.9,0
74,Male,Group E,Associate's,Standard,Completed,1.7,0.939,No,Yes,73.8,68.9,63.9,68.9,1
75,Male,Group E,Associate's,Standard,Completed,3.5,0.811,Yes,No,70.3,71.6,75.7,72.5,1
76,Male,Group E,Associate's,Standard,Not Completed,3.0,0.908,Yes,Yes,73.0,67.8,66.1,69.0,1
77,Male,Group B,Some College,Standard,Not Completed,6.9,0.856,Yes,No,62.9,63.5,60.3,62.2,1
78,Female,Group C,Some College,Standard,Not Completed,5.1,0.814,No,Yes,52.3,63.6,61.5,59.1,0
79,Female,Group E,Bachelor's,Standard,Not Completed,14.9,0.836,No,Yes,83.7,74.2,88.6,82.2,1
80,Female,Group D,High School,Standard,Not Completed,5.4,0.918,No,No,62.2,66.1,68.0,65.4,1
81,Male,Group A,Associate's,Standard,Not Completed,18.5,0.797,No,Yes,79.0,75.8,66.4,73.7,1
82,Male,Group A,High School,Free/Reduced,Not Completed,6.3,0.84,No,No,57.5,61.3,62.0,60.3,1
83,Female,Group C,Associate's,Standard,Not Completed,20.8,0.953,No,Yes,86.0,89.8,85.0,86.9,1
84,Female,Group E,Bachelor's,Standard,Not Completed,5.9,1.0,Yes,No,66.4,61.8,71.2,66.5,1
85,Female,Group C,High School,Standard,Completed,5.9,0.938,No,Yes,65.4,74.2,71.9,70.5,1
86,Female,Group C,High School,Standard,Completed,11.4,0.827,No,No,71.3,79.7,73.1,74.7,1
87,Male,Group A,High School,Free/Reduced,Completed,10.4,0.871,No,No,77.5,72.8,71.0,73.8,1
88,Male,Group D,Associate's,Standard,Completed,2.7,0.903,No,Yes,76.6,77.1,59.7,71.1,1
89,Male,Group D,Bachelor's,Free/Reduced,Not Completed,7.0,0.872,Yes,Yes,63.5,75.9,70.8,70.1,1
90,Female,Group C,High School,Standard,Completed,5.1,0.972,No,Yes,61.6,76.5,67.3,68.5,1
91,Female,Group D,Bachelor's,Standard,Completed,4.9,0.917,Yes,No,86.8,95.0,83.9,88.6,1
92,Male,Group E,Some College,Free/Reduced,Not Completed,7.0,0.973,No,No,50.7,67.2,50.5,56.1,0
93,Male,Group B,Some College,Standard,Not Completed,5.6,0.875,No,Yes,67.1,59.0,67.0,64.4,1
94,Male,Group C,Master's,Standard,Completed,7.4,1.0,Yes,Yes,86.9,94.1,84.4,88.5,1
95,Male,Group B,Some College,Standard,Not Completed,3.4,0.887,No,No,45.3,51.0,53.7,50.0,0
96,Female,Group D,Some College,Free/Reduced,Completed,2.2,0.822,No,Yes,53.2,64.1,51.6,56.3,0
97,Male,Group C,High School,Standard,Not Completed,11.6,1.0,No,No,74.2,86.9,77.4,79.5,1
98,Female,Group C,High School,Free/Reduced,Not Completed,12.6,0.754,No,No,55.2,59.8,56.3,57.1,0
99,Female,Group D,Some College,Standard,Not Completed,11.2,0.841,Yes,No,73.3,77.9,67.4,72.9,1
100,Female,Group C,High School,Free/Reduced,Not Completed,6.8,0.85,Yes,Yes,42.4,50.4,60.0,50.9,0
101,Female,Group E,Associate's,Standard,Completed,5.3,1.0,Yes,Yes,100.0,100.0,96.1,98.7,1
102,Male,Group C,Some College,Free/Reduced,Completed,4.4,1.0,No,Yes,65.7,62.8,58.2,62.2,1
103,Female,Group B,Associate's,Standard,Not Completed,3.9,1.0,No,Yes,66.6,66.6,70.2,67.8,1
104,Female,Group D,High School,Free/Reduced,Not Completed,6.3,0.874,No,No,48.6,59.6,53.3,53.8,0
105,Male,Group D,Some College,Standard,Completed,12.5,1.0,Yes,Yes,97.0,98.6,95.5,97.0,1
106,Female,Group B,Associate's,Standard,Not Completed,4.2,0.929,Yes,Yes,78.9,80.2,71.9,77.0,1
107,Female,Group E,Master's,Standard,Not Completed,12.5,0.978,No,Yes,82.9,77.1,72.3,77.4,1
108,Male,Group E,High School,Standard,Not Completed,2.3,0.914,No,No,55.4,54.5,57.9,55.9,0
109,Female,Group B,Bachelor's,Standard,Completed,7.7,0.896,No,Yes,90.3,85.0,92.2,89.2,1
110,Female,Group E,Associate's,Free/Reduced,Completed,8.6,0.88,No,Yes,88.7,83.7,78.7,83.7,1
111,Female,Group A,Associate's,Free/Reduced,Not Completed,4.8,0.883,No,Yes,63.7,61.0,61.7,62.1,1
112,Female,Group B,Associate's,Standard,Not Completed,3.2,0.949,No,Yes,73.1,74.8,64.1,70.7,1
113,Male,Group B,High School,Free/Reduced,Completed,10.8,0.929,No,Yes,87.4,98.3,88.4,91.4,1
114,Male,Group E,High School,Standard,Completed,6.8,0.897,Yes,No,83.7,78.0,93.3,85.0,1
115,Male,Group D,Associate's,Standard,Not Completed,24.3,1.0,Yes,Yes,94.6,96.2,95.7,95.5,1
116,Male,Group B,Some College,Free/Reduced,Not Completed,12.6,0.663,Yes,Yes,55.9,54.6,59.0,56.5,0
117,Male,Group C,Master's,Free/Reduced,Completed,12.6,0.941,No,Yes,98.5,84.3,97.6,93.5,1
118,Female,Group C,Some College,Free/Reduced,Not Completed,0.9,0.957,No,No,42.3,55.4,43.6,47.1,0
119,Male,Group A,High School,Standard,Not Completed,4.3,0.992,No,No,80.3,75.6,64.6,73.5,1
120,Male,Group E,Bachelor's,Free/Reduced,Not Completed,3.0,0.895,No,Yes,59.6,66.7,68.4,64.9,1
121,Male,Group D,Some College,Standard,Not Completed,1.4,0.917,No,No,63.4,73.7,58.5,65.2,1
122,Male,Group C,Associate's,Standard,Not Completed,6.5,0.979,Yes,No,82.3,78.6,66.8,75.9,1
123,Female,Group E,Associate's,Standard,Not Completed,10.6,1.0,No,Yes,76.4,74.6,78.9,76.6,1
124,Female,Group C,Master's,Free/Reduced,Completed,3.5,0.876,Yes,No,90.0,93.2,82.2,88.5,1
125,Female,Group E,Bachelor's,Free/Reduced,Not Completed,1.5,0.921,Yes,No,59.4,72.6,60.4,64.1,1
126,Female,Group D,Associate's,Free/Reduced,Not Completed,3.7,1.0,Yes,No,63.3,72.0,77.4,70.9,1
127,Male,Group C,Associate's,Standard,Not Completed,6.0,0.73,Yes,No,66.7,67.4,52.7,62.3,1
128,Male,Group B,Master's,Standard,Completed,5.8,0.845,No,Yes,75.3,79.5,71.0,75.3,1
129,Female,Group E,Some College,Standard,Completed,6.7,1.0,Yes,No,73.5,77.6,72.7,74.6,1
130,Female,Group C,High School,Standard,Not Completed,8.5,0.987,No,No,71.6,69.3,64.6,68.5,1
131,Female,Group B,Some College,Standard,Completed,6.6,0.942,Yes,Yes,70.4,73.9,70.2,71.5,1
132,Female,Group A,High School,Free/Reduced,Not Completed,10.9,0.864,No,Yes,71.1,68.9,63.0,67.7,1
133,Female,Group C,Associate's,Standard,Completed,3.5,0.829,No,No,59.9,68.6,66.3,64.9,1
134,Female,Group C,Associate's,Standard,Not Completed,5.6,0.853,No,Yes,50.4,62.4,50.7,54.5,0
135,Male,Group D,Associate's,Standard,Completed,9.4,1.0,No,Yes,66.4,78.9,70.9,72.1,1
136,Female,Group E,High School,Standard,Not Completed,7.9,0.85,No,Yes,47.6,45.9,48.8,47.4,0
137,Female,Group A,Bachelor's,Standard,Not Completed,17.3,0.908,No,Yes,91.5,91.8,97.3,93.5,1
138,Male,Group D,Some College,Free/Reduced,Completed,3.6,0.84,Yes,Yes,69.1,62.7,70.4,67.4,1
139,Female,Group B,Associate's,Standard,Not Completed,9.4,0.967,No,No,76.9,82.9,74.3,78.0,1
140,Male,Group E,Associate's,Free/Reduced,Not Completed,4.4,0.857,No,No,68.3,51.4,63.8,61.2,1
141,Male,Group D,Some College,Standard,Not Completed,4.1,0.892,No,No,62.2,62.4,65.8,63.5,1
142,Female,Group C,High School,Standard,Completed,12.1,0.765,No,No,63.3,77.6,75.3,72.1,1
143,Female,Group D,High School,Standard,Completed,6.6,0.771,No,Yes,69.5,77.6,79.4,75.5,1
144,Female,Group B,Bachelor's,Free/Reduced,Not Completed,7.8,0.901,Yes,Yes,73.3,74.8,74.7,74.3,1
145,Female,Group C,Master's,Free/Reduced,Completed,4.6,0.794,No,No,84.4,79.1,84.0,82.5,1
146,Female,Group D,Associate's,Standard,Not Completed,4.8,1.0,No,No,75.4,82.0,62.9,73.4,1
147,Male,Group C,High School,Standard,Not Completed,2.2,0.735,No,No,41.6,49.7,49.8,47.0,0
148,Female,Group B,Some College,Standard,Completed,7.4,0.836,No,Yes,73.4,65.6,61.7,66.9,1
149,Female,Group C,Bachelor's,Standard,Not Completed,3.3,0.901,No,Yes,64.1,62.4,59.3,61.9,1
150,Female,Group D,Bachelor's,Free/Reduced,Not Completed,6.1,0.871,Yes,Yes,88.2,79.1,81.1,82.8,1
151,Male,Group B,High School,Standard,Not Completed,10.9,0.812,No,Yes,66.9,56.0,58.9,60.6,1
152,Female,Group B,High School,Standard,Completed,1.7,0.823,No,Yes,48.3,53.6,52.7,51.5,0
153,Female,Group D,Bachelor's,Standard,Not Completed,27.9,0.821,No,Yes,100.0,97.6,100.0,99.2,1
154,Female,Group D,Some College,Standard,Completed,4.0,0.877,No,No,75.2,63.2,64.6,67.7,1
155,Male,Group A,Some College,Standard,Completed,6.2,1.0,Yes,Yes,93.6,91.1,79.5,88.1,1
156,Female,Group B,High School,Standard,Not Completed,7.8,0.906,No,Yes,85.6,85.0,88.7,86.4,1
157,Male,Group A,Associate's,Free/Reduced,Completed,4.0,0.995,No,Yes,85.5,86.2,82.3,84.7,1
158,Male,Group B,Bachelor's,Free/Reduced,Not Completed,4.9,0.941,Yes,Yes,71.5,71.2,81.6,74.8,1
159,Female,Group C,Master's,Standard,Not Completed,12.4,0.989,No,Yes,72.0,68.3,79.5,73.3,1
160,Male,Group D,Associate's,Free/Reduced,Completed,10.3,0.676,Yes,Yes,61.7,67.8,55.8,61.8,1
161,Female,Group D,Associate's,Standard,Completed,5.7,0.876,No,Yes,69.8,76.8,80.4,75.7,1
162,Male,Group C,High School,Standard,Not Completed,6.7,1.0,No,No,67.1,57.9,54.4,59.8,0
163,Male,Group B,Associate's,Standard,Not Completed,7.3,0.854,Yes,Yes,87.5,84.6,87.9,86.7,1
164,Male,Group D,Some College,Standard,Not Completed,9.2,1.0,Yes,Yes,87.5,81.7,79.7,83.0,1
165,Female,Group C,Associate's,Standard,Not Completed,9.6,1.0,No,No,72.7,88.8,69.8,77.1,1
166,Male,Group E,Some College,Standard,Not Completed,9.4,0.862,Yes,Yes,73.0,67.1,62.6,67.6,1
167,Female,Group C,High School,Standard,Not Completed,5.1,0.86,No,Yes,60.7,59.7,73.2,64.5,1
168,Female,Group A,High School,Free/Reduced,Completed,7.1,0.819,No,Yes,46.2,57.9,52.8,52.3,0
169,Female,Group D,Some College,Standard,Not Completed,11.6,0.85,No,Yes,95.5,90.2,85.5,90.4,1
170,Male,Group B,High School,Standard,Not Completed,20.3,0.801,No,No,91.5,77.4,94.1,87.7,1
171,Male,Group D,High School,Standard,Completed,7.0,0.934,Yes,Yes,86.6,90.8,82.6,86.7,1
172,Female,Group A,Master's,Standard,Completed,4.7,0.784,No,Yes,60.7,73.1,59.0,64.3,1
173,Female,Group B,Some College,Standard,Not Completed,3.9,0.948,No,No,69.8,56.6,71.6,66.0,1
174,Female,Group E,Associate's,Free/Reduced,Not Completed,9.5,0.95,Yes,No,87.0,81.9,83.0,84.0,1
175,Male,Group B,Bachelor's,Standard,Not Completed,2.1,0.767,No,Yes,58.5,50.3,57.8,55.5,0
176,Female,Group D,Master's,Standard,Not Completed,9.5,1.0,No,Yes,74.3,78.0,64.1,72.1,1
177,Male,Group B,Associate's,Standard,Not Completed,9.6,0.941,No,Yes,79.5,76.7,64.1,73.4,1
178,Female,Group C,Bachelor's,Standard,Completed,4.8,0.96,No,Yes,89.1,78.3,70.0,79.1,1
179,Male,Group D,Some College,Standard,Not Completed,7.7,0.839,Yes,No,72.4,73.5,64.3,70.1,1
180,Female,Group C,Some College,Standard,Not Completed,5.8,0.95,No,No,83.1,86.9,76.7,82.2,1
181,Female,Group B,Some College,Standard,Not Completed,2.6,0.99,No,No,49.7,61.9,61.2,57.6,0
182,Female,Group B,Associate's,Standard,Not Completed,9.1,0.892,Yes,Yes,77.6,89.4,75.3,80.8,1
183,Male,Group A,Associate's,Standard,Not Completed,8.7,1.0,No,No,63.3,67.0,73.0,67.8,1
184,Male,Group B,Some College,Free/Reduced,Completed,5.1,0.904,No,Yes,56.9,62.0,59.8,59.6,0
185,Female,Group D,High School,Standard,Not Completed,20.2,0.991,Yes,Yes,86.4,73.3,78.7,79.5,1
186,Male,Group E,Associate's,Free/Reduced,Not Completed,6.7,0.923,No,Yes,70.8,62.6,64.5,66.0,1
187,Male,Group E,High School,Free/Reduced,Not Completed,1.6,0.947,No,Yes,71.7,70.3,55.9,66.0,1
188,Male,Group D,Associate's,Standard,Completed,12.0,0.766,No,Yes,71.4,77.8,75.1,74.8,1
189,Male,Group D,Associate's,Standard,Not Completed,10.4,0.93,No,No,70.2,74.4,63.4,69.3,1
190,Female,Group D,Bachelor's,Standard,Not Completed,11.1,0.841,No,No,80.8,82.4,75.4,79.5,1
191,Female,Group B,Bachelor's,Free/Reduced,Completed,3.4,0.832,No,No,64.9,73.0,77.0,71.6,1
192,Male,Group E,Bachelor's,Standard,Not Completed,7.6,1.0,Yes,Yes,86.1,82.4,92.3,86.9,1
193,Male,Group D,Some College,Free/Reduced,Not Completed,6.6,0.883,No,No,73.6,83.1,63.5,73.4,1
194,Male,Group C,Bachelor's,Free/Reduced,Not Completed,6.0,0.82,No,Yes,64.5,63.5,64.9,64.3,1
195,Female,Group A,Associate's,Free/Reduced,Not Completed,13.8,0.871,Yes,No,81.4,83.7,75.4,80.2,1
196,Female,Group C,High School,Standard,Not Completed,6.7,0.796,No,No,48.5,59.7,50.4,52.9,0
197,Male,Group C,High School,Standard,Completed,5.2,1.0,Yes,No,84.1,87.7,81.7,84.5,1
198,Male,Group E,Some College,Free/Reduced,Not Completed,5.1,0.844,No,Yes,58.6,60.7,55.0,58.1,0
199,Male,Group C,Some College,Standard,Not Completed,3.2,0.942,No,Yes,59.5,70.7,71.3,67.2,1
200,Male,Group C,Associate's,Standard,Not Completed,7.1,1.0,Yes,Yes,82.4,71.6,81.9,78.6,1
201,Male,Group E,Bachelor's,Free/Reduced,Not Completed,14.4,0.86,No,Yes,71.4,74.1,88.7,78.1,1
202,Female,Group A,High School,Standard,Not Completed,5.4,0.943,Yes,Yes,58.3,64.1,58.3,60.2,1
203,Female,Group C,High School,Free/Reduced,Completed,7.8,0.818,No,Yes,43.9,48.9,35.4,42.7,0
204,Male,Group A,Master's,Free/Reduced,Not Completed,5.9,1.0,No,Yes,83.1,90.4,85.5,86.3,1
205,Male,Group D,High School,Standard,Completed,6.3,0.975,No,Yes,69.5,64.6,69.2,67.8,1
206,Female,Group E,Some College,Free/Reduced,Not Completed,10.7,0.885,No,Yes,69.2,76.6,70.9,72.2,1
207,Female,Group B,Associate's,Standard,Not Completed,3.2,0.838,Yes,Yes,70.9,78.1,75.1,74.7,1
208,Male,Group E,Associate's,Standard,Not Completed,2.3,0.891,No,Yes,66.4,71.0,62.9,66.8,1
209,Female,Group B,High School,Standard,Not Completed,12.0,0.873,Yes,Yes,72.9,79.8,67.7,73.5,1
210,Female,Group E,High School,Standard,Not Completed,4.7,1.0,No,Yes,70.8,66.3,68.9,68.7,1
211,Male,Group D,High School,Standard,Not Completed,5.2,0.802,No,No,50.0,55.9,57.0,54.3,0
212,Male,Group D,Associate's,Standard,Completed,22.6,0.911,No,Yes,100.0,100.0,100.0,100.0,1
213,Male,Group A,Associate's,Standard,Not Completed,10.4,0.899,No,No,93.1,82.6,91.1,88.9,1
214,Female,Group E,High School,Standard,Not Completed,3.7,0.891,No,Yes,80.8,61.7,65.4,69.3,1
215,Male,Group D,Associate's,Free/Reduced,Not Completed,12.5,0.891,No,Yes,66.2,78.1,73.8,72.7,1
216,Female,Group B,Bachelor's,Free/Reduced,Not Completed,10.5,0.891,No,Yes,67.0,73.9,65.1,68.7,1
217,Female,Group D,High School,Standard,Not Completed,0.4,0.97,Yes,No,65.3,68.9,71.2,68.5,1
218,Male,Group B,Some College,Standard,Not Completed,7.3,0.949,Yes,No,91.0,79.5,69.9,80.1,1
219,Male,Group E,Associate's,Standard,Not Completed,3.3,0.934,No,No,58.0,68.4,64.8,63.7,1
220,Male,Group A,Some College,Standard,Completed,6.3,0.657,No,No,65.6,59.1,61.7,62.1,1
221,Male,Group D,Some College,Free/Reduced,Completed,20.4,0.924,No,Yes,79.1,87.3,86.2,84.2,1
222,Male,Group C,Associate's,Free/Reduced,Not Completed,11.0,0.768,No,Yes,66.1,69.7,66.3,67.4,1
223,Female,Group A,Bachelor's,Standard,Not Completed,11.8,0.952,No,Yes,88.6,90.6,89.9,89.7,1
224,Female,Group B,Bachelor's,Standard,Completed,5.9,1.0,No,Yes,95.7,92.8,86.5,91.7,1
225,Female,Group A,Associate's,Standard,Not Completed,11.8,0.826,Yes,No,71.5,74.7,81.5,75.9,1
226,Female,Group C,Bachelor's,Standard,Not Completed,4.1,0.879,No,No,62.1,57.1,60.1,59.8,0
227,Male,Group B,Some College,Standard,Not Completed,7.2,0.852,No,No,59.7,57.9,59.3,59.0,0
228,Female,Group C,Associate's,Free/Reduced,Not Completed,10.7,0.999,No,Yes,82.0,74.5,76.1,77.5,1
229,Male,Group B,Some College,Free/Reduced,Not Completed,10.5,0.908,Yes,Yes,97.5,96.4,95.8,96.6,1
230,Male,Group B,High School,Standard,Not Completed,2.4,1.0,No,Yes,55.0,67.9,61.4,61.4,1
231,Male,Group D,Bachelor's,Standard,Not Completed,17.9,0.933,Yes,No,100.0,100.0,92.1,97.4,1
232,Female,Group A,Associate's,Free/Reduced,Not Completed,3.6,0.919,Yes,No,59.6,63.1,61.1,61.3,1
233,Male,Group E,Some College,Standard,Completed,24.9,0.905,Yes,Yes,99.9,92.4,96.6,96.3,1
234,Female,Group E,Master's,Standard,Not Completed,10.9,0.965,Yes,No,85.4,89.4,85.4,86.7,1
235,Female,Group D,High School,Standard,Not Completed,10.3,0.761,No,Yes,42.3,48.6,44.8,45.2,0
236,Male,Group C,Some College,Free/Reduced,Not Completed,3.8,0.907,No,No,67.2,73.3,69.6,70.0,1
237,Female,Group E,High School,Standard,Completed,4.9,0.894,No,No,53.8,60.4,53.8,56.0,0
238,Female,Group B,Bachelor's,Free/Reduced,Completed,17.1,0.958,No,Yes,95.4,91.0,94.3,93.6,1
239,Male,Group A,Bachelor's,Free/Reduced,Not Completed,15.9,0.885,No,No,66.7,70.1,72.0,69.6,1
240,Female,Group B,Some College,Free/Reduced,Not Completed,6.0,0.817,No,Yes,44.1,49.7,45.8,46.5,0
241,Male,Group D,Associate's,Free/Reduced,Completed,5.7,0.901,No,Yes,84.4,75.2,74.7,78.1,1
242,Male,Group A,Some College,Standard,Completed,5.8,0.813,Yes,Yes,66.2,78.8,69.7,71.6,1
243,Male,Group C,Bachelor's,Standard,Not Completed,12.5,0.746,No,Yes,55.8,63.8,71.1,63.6,1
244,Female,Group E,Some College,Free/Reduced,Not Completed,11.8,0.958,No,Yes,62.8,72.7,68.5,68.0,1
245,Female,Group E,Some College,Free/Reduced,Not Completed,8.4,0.946,Yes,No,64.5,77.8,76.2,72.8,1
246,Male,Group C,Master's,Standard,Completed,7.3,0.937,No,Yes,77.2,83.9,82.3,81.1,1
